,Year,Author,Title,Result
0,2020,Maggie O'Farrell,Hamnet,Winner
1,2020,Angie Cruz,Dominicana,Finalist
2,2020,Bernardine Evaristo,"Girl, Woman, Other",Finalist
3,2020,Natalie Haynes,A Thousand Ships,Finalist
4,2020,Hilary Mantel,The Mirror and the Light,Finalist
5,2020,Jenny Offill,Weather,Finalist
6,2021,Susanna Clarke,Piranesi,Winner
7,2021,Brit Bennett,The Vanishing Half,Finalist
8,2021,Claire Fuller,Unsettled Ground,Finalist
9,2021,Yaa Gyasi,Transcendent Kingdom,Finalist
10,2021,Cherie Jones,How the One-Armed Sister Sweeps Her House,Finalist
11,2021,Patricia Lockwood,No One Is Talking About This,Finalist
12,2022,Ruth Ozeki,The Book of Form and Emptiness,Winner
13,2022,Lisa Allen-Agostini,The Bread the Devil Knead,Finalist
14,2022,Louise Erdrich,The Sentence,Finalist
15,2022,Meg Mason,Sorrow and Bliss,Finalist
16,2022,Elif Shafak,The Island of Missing Trees,Finalist
17,2022,Maggie Shipstead,Great Circle,Finalist
18,2023,Barbara Kingsolver,Demon Copperhead,Winner
19,2023,Jacqueline Crooks,Fire Rush,Finalist
20,2023,Louise Kennedy,Trespasses,Finalist
21,2023,Priscilla Morris,Black Butterflies,Finalist
22,2023,Maggie O'Farrell,The Marriage Portrait,Finalist
23,2023,Laline Paull,Pod,Finalist
24,2024,V. V. Ganeshananthan,Brotherless Night,Winner
25,2024,Anne Enright,"The Wren, The Wren",Finalist
26,2024,Kate Grenville,Restless Dolly Maunder,Finalist
27,2024,Isabella Hammad,Enter Ghost,Finalist
28,2024,Claire Kilroy,Soldier Sailor,Finalist
29,2024,Aube Rey Lescure,"River East, River West",Finalist
0,2010,Barbara Kingsolver,The Lacuna,Winner
1,2010,Rosie Alison,The Very Thought of You,Finalist
2,2010,Attica Locke,Black Water Rising,Finalist
3,2010,Hilary Mantel,Wolf Hall,Finalist
4,2010,Lorrie Moore,A Gate at the Stairs,Finalist
5,2010,Monique Roffey,The White Woman on the Green Bicycle,Finalist
6,2011,Téa Obreht,The Tiger's Wife,Winner
7,2011,Emma Donoghue,Room,Finalist
8,2011,Aminatta Forna,The Memory of Love,Finalist
9,2011,Emma Henderson,Grace Williams Says it Loud,Finalist
10,2011,Nicole Krauss,Great House,Finalist
11,2011,Kathleen Winter,Annabel,Finalist
12,2012,Madeline Miller,The Song of Achilles,Winner
13,2012,Esi Edugyan,Half-Blood Blues,Finalist
14,2012,Anne Enright,The Forgotten Waltz,Finalist
15,2012,Georgina Harding,Painter of Silence,Finalist
16,2012,Cynthia Ozick,Foreign Bodies,Finalist
17,2012,Ann Patchett,State of Wonder,Finalist
18,2013,A. M. Homes,May We Be Forgiven,Winner
19,2013,Kate Atkinson,Life After Life,Finalist
20,2013,Barbara Kingsolver,Flight Behaviour,Finalist
21,2013,Hilary Mantel,Bring Up the Bodies,Finalist
22,2013,Maria Semple,"Where'd You Go, Bernadette",Finalist
23,2013,Zadie Smith,NW,Finalist
24,2014,Eimear McBride,A Girl Is a Half-formed Thing,Winner
25,2014,Chimamanda Ngozi Adichie,Americanah,Finalist
26,2014,Hannah Kent,Burial Rites,Finalist
27,2014,Jhumpa Lahiri,The Lowland,Finalist
28,2014,Audrey Magee,The Undertaking,Finalist
29,2014,Donna Tartt,The Goldfinch,Finalist
30,2015,Ali Smith,How to Be Both,Winner
31,2015,Rachel Cusk,Outline,Finalist
32,2015,Laline Paull,The Bees,Finalist
33,2015,Kamila Shamsie,A God in Every Stone,Finalist
34,2015,Anne Tyler,A Spool of Blue Thread,Finalist
35,2015,Sarah Waters,The Paying Guests,Finalist
36,2016,Lisa McInerney,The Glorious Heresies,Winner
37,2016,Cynthia Bond,Ruby,Finalist
38,2016,Anne Enright,The Green Road,Finalist
39,2016,Elizabeth McKenzie,The Portable Veblen,Finalist
40,2016,Hannah Rothschild,The Improbability of Love,Finalist
41,2016,Hanya Yanagihara,A Little Life,Finalist
